STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010101,0.00,17.0,0.0,15,24,5
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010102,0.00,15.0,0.0,12,19,5
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010103,0.00,14.0,0.0,18,28,7
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010104,0.00,14.0,0.0,25,30,19
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010105,0.00,13.0,0.0,29,36,21
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010106,0.00,12.0,0.0,25,33,17
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010107,0.00,12.0,0.0,28,34,21
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010108,0.00,12.0,0.0,19,26,12
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010109,0.00,12.0,0.0,17,23,10
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010110,0.00,11.0,0.0,26,34,18
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010111,0.00,11.0,0.0,29,39,18
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010112,0.00,11.0,0.0,30,37,23
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010113,0.00,10.0,0.0,34,36,32
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010114,0.15,8.0,0.0,34,36,32
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010115,0.05,6.0,0.0,33,35,31
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010116,0.00,6.0,0.0,29,31,26
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010117,0.00,6.0,0.0,23,26,19
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010118,0.00,6.0,0.0,25,31,19
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010119,0.00,5.0,0.0,22,27,17
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010120,0.00,5.0,0.0,18,24,11
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010121,0.00,5.0,0.0,17,25,9
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010122,0.00,5.0,0.0,18,29,6
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010123,0.00,5.0,0.0,28,35,21
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010124,0.00,5.0,0.0,22,28,16
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010125,0.00,5.0,0.0,19,25,13
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010126,0.06,5.0,1.0,26,31,21
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010127,0.00,5.0,0.0,21,26,15
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010128,0.03,5.0,0.1,22,29,14
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010129,0.62,5.0,0.0,34,42,29
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010130,0.21,2.0,0.4,36,40,32
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010131,0.00,2.0,0.0,31,35,27
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010201,0.00,2.0,0.0,18,32,4
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010202,0.00,1.0,0.0,0,12,-2
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010203,0.01,1.0,0.3,20,30,10
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010204,0.03,2.0,0.1,30,34,26
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010205,0.01,1.0,0.2,29,32,26
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010206,0.00,1.0,0.0,28,36,20
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010207,0.05,0.0,0.0,26,35,17
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010208,0.58,0.0,0.0,44,53,34
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010209,0.52,0.0,1.1,37,54,20
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010210,0.00,1.0,0.0,16,20,12
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010211,0.00,1.0,0.0,19,27,10
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010212,0.00,1.0,0.0,29,38,20
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010213,0.01,0.0,0.0,35,38,31
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010214,0.22,0.0,0.1,33,37,28
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010215,0.00,0.0,0.0,29,32,26
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010216,0.00,0.0,0.0,23,31,14
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010217,0.00,0.0,0.0,13,19,6
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010218,0.00,0.0,0.0,18,28,7
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010219,0.00,0.0,0.0,35,42,28
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010220,0.00,0.0,0.0,27,36,18
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010221,0.00,0.0,0.0,15,21,9
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010222,0.03,0.0,0.4,23,27,19
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010223,0.00,0.0,0.0,24,30,18
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010224,1.11,0.0,0.0,43,56,30
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010225,0.00,0.0,0.0,42,55,28
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010226,0.00,0.0,0.0,31,40,22
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010227,0.00,0.0,0.0,23,29,17
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010228,0.00,0.0,0.0,20,28,11
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010301,0.00,0.0,0.0,31,42,20
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010302,0.00,0.0,0.0,35,42,28
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010303,0.00,0.0,0.0,36,49,22
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010304,0.00,0.0,0.0,30,35,24
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010305,0.00,0.0,0.0,23,28,18
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010306,0.00,0.0,0.0,28,34,21
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010307,0.00,0.0,0.0,33,44,22
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010308,0.01,0.0,0.1,31,35,27
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010309,0.00,0.0,0.0,31,38,23
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010310,0.04,0.0,0.0,34,50,18
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010311,0.03,0.0,0.1,33,38,28
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010312,0.22,0.0,0.0,40,49,30
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010313,0.00,0.0,0.0,-9999,42,31
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010314,0.01,0.0,0.0,38,50,25
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010315,0.44,0.0,0.0,39,45,33
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010316,0.46,1.0,4.0,32,34,30
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010317,0.00,4.0,0.0,32,38,26
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010318,0.00,3.0,0.0,32,44,20
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010319,0.00,1.0,0.0,36,46,25
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010320,0.00,0.0,0.0,38,48,27
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010321,0.00,0.0,0.0,41,52,29
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010322,0.00,0.0,0.0,42,56,28
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010323,0.00,0.0,0.0,42,50,34
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010324,0.00,0.0,0.0,29,36,21
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010325,0.00,0.0,0.0,22,25,19
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010326,0.00,0.0,0.0,25,33,16
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010327,0.00,0.0,0.0,32,39,24
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010328,0.01,0.0,0.0,36,49,22
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010329,0.01,0.0,0.0,41,46,35
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010330,0.00,0.0,0.0,42,51,32
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010331,0.07,0.0,0.0,46,56,35
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010401,0.00,0.0,0.0,40,49,30
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010402,0.00,0.0,0.0,45,60,30
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010403,0.00,0.0,0.0,41,46,35
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010404,0.00,0.0,0.0,42,52,31
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010405,0.45,0.0,0.0,48,60,36
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010406,0.18,0.0,0.0,53,62,44
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010407,0.00,0.0,0.0,64,83,44
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010408,0.00,0.0,0.0,61,77,45
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010409,0.24,0.0,0.0,52,59,44
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010410,0.00,0.0,0.0,47,51,43
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010411,0.53,0.0,0.0,64,77,51
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010412,0.00,0.0,0.0,57,66,47
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010413,0.00,0.0,0.0,48,59,37
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010414,0.01,0.0,0.0,52,65,38
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010415,0.19,0.0,0.0,49,54,43
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010416,0.02,0.0,0.3,36,42,29
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010417,0.00,0.0,0.0,38,46,29
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010418,0.00,0.0,0.0,41,55,26
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010419,0.00,0.0,0.0,51,68,33
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010420,0.18,0.0,0.0,64,77,51
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010421,0.32,0.0,0.0,69,82,55
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010422,0.09,0.0,0.0,65,78,51
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010423,0.57,0.0,0.0,58,72,44
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010424,0.00,0.0,0.0,52,61,42
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010425,0.00,0.0,0.0,51,60,42
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010426,0.00,0.0,0.0,61,76,46
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010427,0.00,0.0,0.0,52,63,40
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010428,0.00,0.0,0.0,53,65,40
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010429,0.00,0.0,0.0,61,75,46
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010430,0.04,0.0,0.0,68,85,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010501,0.00,0.0,0.0,73,83,62
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010502,0.00,0.0,0.0,73,81,65
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010503,0.00,0.0,0.0,72,86,58
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010504,0.01,0.0,0.0,55,60,49
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010505,0.00,0.0,0.0,58,66,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010506,0.18,0.0,0.0,65,75,54
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010507,0.11,0.0,0.0,60,67,53
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010508,0.00,0.0,0.0,62,76,48
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010509,0.00,0.0,0.0,67,80,53
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010510,0.48,0.0,0.0,70,81,58
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010511,0.24,0.0,0.0,54,64,44
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010512,0.00,0.0,0.0,48,57,38
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010513,0.00,0.0,0.0,53,68,37
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010514,0.12,0.0,0.0,54,66,42
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010515,0.00,0.0,0.0,72,88,55
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010516,0.16,0.0,0.0,77,89,64
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010517,0.03,0.0,0.0,74,85,62
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010518,0.00,0.0,0.0,65,73,56
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010519,0.00,0.0,0.0,61,73,49
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010520,0.01,0.0,0.0,63,77,49
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010521,0.15,0.0,0.0,62,70,53
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010522,0.07,0.0,0.0,56,61,45
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010523,0.06,0.0,0.0,54,63,44
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010524,0.16,0.0,0.0,51,60,42
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010525,0.07,0.0,0.0,51,59,43
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010526,0.81,0.0,0.0,48,57,38
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010527,0.15,0.0,0.0,55,61,49
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010528,0.09,0.0,0.0,59,67,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010529,0.00,0.0,0.0,53,62,44
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010530,0.00,0.0,0.0,53,60,45
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010531,0.44,0.0,0.0,53,62,44
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010601,0.43,0.0,0.0,57,65,49
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010602,0.02,0.0,0.0,53,56,50
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010603,0.00,0.0,0.0,52,55,49
